,price,base production,tech,promot,is optimal,protenial_increase,unique,first_sol,unique & optimal
109,6,4,2,2,False,{'tech': 1},True,True,False
120,4,6,1,2,False,{'tech': 1},False,True,False
122,4,5,2,2,False,"{'base production': 1, 'tech': 1}",False,True,False
142,4,5,2,2,False,"{'base production': 1, 'tech': 1}",False,False,False
144,4,6,1,2,False,{'tech': 1},False,False,False
150,4,5,2,2,False,"{'base production': 1, 'tech': 1}",False,False,False
170,4,6,1,2,False,{'tech': 1},False,False,False
172,4,6,1,2,False,{'tech': 1},False,False,False
192,4,5,2,2,False,"{'base production': 1, 'tech': 1}",False,False,False
194,4,5,2,2,False,"{'base production': 1, 'tech': 1}",False,False,False
202,4,6,1,2,False,{'tech': 1},False,False,False
